Rank,Name,Salary,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Experience
1,"Stephen Curry, PG",45780966,2020-21,32,GSW,NBA,PG,63,63,34.2,10.4,21.7,0.482,5.3,12.7,0.421,5.1,9,0.569,0.605,5.7,6.3,0.916,0.5,5,5.5,5.8,1.2,0.1,3.4,1.9,32,11
2,"James Harden, SG",44310840,2020-21,31,TOT,NBA,"PG,SG",44,43,36.6,7.8,16.7,0.466,2.8,7.6,0.362,5,9.1,0.553,0.548,6.3,7.3,0.861,0.8,7.1,7.9,10.8,1.2,0.8,4,2.3,24.6,11
3,"John Wall, PG",44310840,2020-21,30,HOU,NBA,PG,40,40,32.2,7.3,18.2,0.404,2,6.2,0.317,5.4,11.9,0.449,0.458,4,5.3,0.749,0.4,2.8,3.2,6.9,1.1,0.8,3.5,1.2,20.6,9
4,"Russell Westbrook, PG",44211146,2020-21,32,WAS,NBA,PG,65,65,36.4,8.4,19,0.439,1.3,4.2,0.315,7,14.8,0.475,0.474,4.2,6.4,0.656,1.7,9.9,11.5,11.7,1.4,0.4,4.8,2.9,22.2,12
5,"Kevin Durant, PF",42018900,2020-21,32,BRK,NBA,PF,35,32,33.1,9.3,17.2,0.537,2.4,5.4,0.45,6.8,11.8,0.577,0.608,6,6.8,0.882,0.4,6.7,7.1,5.6,0.7,1.3,3.4,2,26.9,12
6,"LeBron James, SF",41180544,2020-21,36,LAL,NBA,PG,45,45,33.4,9.4,18.3,0.513,2.3,6.3,0.365,7.1,12,0.591,0.576,4,5.7,0.698,0.6,7,7.7,7.8,1.1,0.6,3.7,1.6,25,17
7,"Giannis Antetokounmpo, PF",39344970,2020-21,26,MIL,NBA,PF,61,61,33,10.3,18,0.569,1.1,3.6,0.303,9.2,14.4,0.636,0.6,6.5,9.5,0.685,1.6,9.4,11,5.9,1.2,1.2,3.4,2.8,28.1,7
8,"Damian Lillard, PG",39344900,2020-21,30,POR,NBA,PG,67,67,35.8,9,19.9,0.451,4.1,10.5,0.391,4.9,9.4,0.519,0.554,6.7,7.2,0.928,0.5,3.7,4.2,7.5,0.9,0.3,3,1.5,28.8,8
9,"Kawhi Leonard, SF",39344900,2020-21,29,LAC,NBA,SF,52,52,34.1,8.9,17.5,0.512,1.9,4.9,0.398,7,12.6,0.557,0.568,5,5.7,0.885,1.1,5.4,6.5,5.2,1.6,0.4,2,1.6,24.8,9
10,"Paul George, SG",39344900,2020-21,30,LAC,NBA,SF,54,54,33.7,8.2,17.6,0.467,3.2,7.7,0.411,5.1,9.9,0.51,0.557,3.7,4.2,0.868,0.8,5.8,6.6,5.2,1.1,0.4,3.3,2.4,23.3,10
11,"Klay Thompson, SG",37980720,2020-21,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
12,"Jimmy Butler, SF",36016200,2020-21,31,MIA,NBA,SF,52,52,33.6,7,14.2,0.497,0.5,2,0.245,6.6,12.2,0.538,0.514,6.9,8,0.863,1.8,5.1,6.9,7.1,2.1,0.3,2.1,1.4,21.5,9
13,"Tobias Harris, PF",35995950,2020-21,28,PHI,NBA,PF,62,62,32.5,7.6,14.9,0.512,1.3,3.4,0.394,6.3,11.5,0.546,0.556,2.9,3.3,0.892,1,5.8,6.8,3.5,0.9,0.8,1.7,1.9,19.5,9
14,"Khris Middleton, SF",35500000,2020-21,29,MIL,NBA,SF,68,68,33.4,7.5,15.8,0.476,2.2,5.4,0.414,5.3,10.4,0.508,0.546,3.1,3.5,0.898,0.8,5.2,6,5.4,1.1,0.1,2.6,2.4,20.4,8
15,"Anthony Davis, PF",35361360,2020-21,27,LAL,NBA,PF,36,36,32.3,8.4,17,0.491,0.7,2.8,0.26,7.6,14.3,0.536,0.512,4.4,5.9,0.738,1.7,6.2,7.9,3.1,1.3,1.6,2.1,1.7,21.8,8
16,"Rudy Gobert, C",35344828,2020-21,28,UTA,NBA,C,71,71,30.8,5.5,8.2,0.675,0,0.1,0,5.5,8.1,0.68,0.675,3.3,5.3,0.623,3.4,10.1,13.5,1.3,0.6,2.7,1.7,2.3,14.3,7
17,"Kyrie Irving, PG",35328700,2020-21,28,BRK,NBA,PG,54,54,34.9,10.2,20.1,0.506,2.8,7,0.402,7.4,13.1,0.561,0.576,3.7,4,0.922,1,3.8,4.8,6,1.4,0.7,2.4,2.6,26.9,9
18,"Bradley Beal, SG",33724200,2020-21,27,WAS,NBA,SG,60,60,35.8,11.2,23,0.485,2.2,6.2,0.349,9,16.8,0.535,0.532,6.8,7.7,0.889,1.2,3.5,4.7,4.4,1.2,0.4,3.1,2.3,31.3,8
19,"Pascal Siakam, PF",33003936,2020-21,26,TOR,NBA,PF,56,56,35.8,7.8,17.2,0.455,1.3,4.4,0.297,6.5,12.8,0.509,0.493,4.4,5.4,0.827,1.7,5.5,7.2,4.5,1.1,0.7,2.3,3.1,21.4,4
20,"Ben Simmons, PG",33003936,2020-21,24,PHI,NBA,PG,58,58,32.4,5.6,10.1,0.557,0.1,0.2,0.3,5.6,9.9,0.562,0.56,3,4.9,0.613,1.6,5.6,7.2,6.9,1.6,0.6,3,2.9,14.3,3
21,"Jrue Holiday, PG",32413333,2020-21,30,MIL,NBA,PG,59,56,32.3,7,13.9,0.503,1.9,4.8,0.392,5.1,9.2,0.561,0.57,1.8,2.3,0.787,1.2,3.3,4.5,6.1,1.6,0.6,2.2,1.7,17.7,11
22,"Kristaps Porzingis, C",31650600,2020-21,25,DAL,NBA,C,43,43,30.9,7.6,15.9,0.476,2.3,6,0.376,5.3,9.9,0.536,0.547,2.7,3.2,0.855,1.9,7,8.9,1.6,0.5,1.3,1.2,2.7,20.1,4
23,"Devin Booker, SG",31650600,2020-21,24,PHO,NBA,SG,67,67,33.9,9.3,19.2,0.484,1.9,5.5,0.34,7.4,13.7,0.543,0.533,5.1,5.9,0.867,0.5,3.7,4.2,4.3,0.8,0.2,3.1,2.7,25.6,5
24,"Karl-Anthony Towns, C",31650600,2020-21,25,MIN,NBA,C,50,50,33.8,8.5,17.5,0.486,2.4,6.3,0.387,6.1,11.2,0.541,0.555,5.3,6.2,0.859,2.7,7.9,10.6,4.5,0.8,1.1,3.2,3.7,24.8,5
25,"Joel Embiid, C",31579390,2020-21,26,PHI,NBA,C,51,51,31.1,9,17.6,0.513,1.1,3,0.377,7.9,14.6,0.541,0.545,9.2,10.7,0.859,2.2,8.4,10.6,2.8,1,1.4,3.1,2.4,28.5,4
26,"Andrew Wiggins, SF",31579390,2020-21,25,GSW,NBA,PF,71,71,33.3,7.1,14.9,0.477,2,5.2,0.38,5.1,9.7,0.529,0.543,2.4,3.4,0.714,1.2,3.7,4.9,2.4,0.9,1,1.8,2.2,18.6,6
27,"Nikola Jokic, C",31579390,2020-21,25,DEN,NBA,C,72,72,34.6,10.2,18,0.566,1.3,3.3,0.388,8.9,14.7,0.606,0.602,4.8,5.5,0.868,2.8,8,10.8,8.3,1.3,0.7,3.1,2.7,26.4,5
28,"Kevin Love, PF",31258256,2020-21,32,CLE,NBA,PF,25,25,24.9,4.1,10.1,0.409,2.3,6.2,0.365,1.8,3.8,0.479,0.522,1.7,2,0.824,0.7,6.8,7.4,2.5,0.6,0.1,1.5,1,12.2,12
29,"CJ McCollum, SG",30864198,2020-21,29,POR,NBA,SG,47,47,34,8.6,18.8,0.458,3.6,8.9,0.402,5,9.9,0.509,0.554,2.3,2.8,0.812,0.6,3.3,3.9,4.7,0.9,0.4,1.4,1.9,23.1,7
30,"D'Angelo Russell, PG",30013500,2020-21,24,MIN,NBA,PG,42,26,28.5,6.7,15.5,0.431,2.9,7.4,0.387,3.8,8.1,0.471,0.523,2.7,3.5,0.765,0.4,2.3,2.6,5.8,1.1,0.4,2.7,1.6,19,5
31,"Chris Paul, PG",30000000,2020-21,35,PHO,NBA,PG,70,70,31.4,6.3,12.6,0.499,1.5,3.7,0.395,4.8,8.9,0.543,0.557,2.4,2.6,0.934,0.4,4.1,4.5,8.9,1.4,0.3,2.2,2.4,16.4,15
32,"Gordon Hayward, SF",29925000,2020-21,30,CHO,NBA,SF,44,44,34,7.1,15,0.473,1.9,4.7,0.415,5.1,10.3,0.499,0.537,3.5,4.2,0.843,0.8,5,5.9,4.1,1.2,0.3,2.1,1.7,19.6,10
33,"Jamal Murray, PG",29467800,2020-21,23,DEN,NBA,PG,48,48,35.5,7.9,16.5,0.477,2.7,6.6,0.408,5.2,9.9,0.523,0.559,2.8,3.2,0.869,0.8,3.3,4,4.8,1.3,0.3,2.3,2,21,4
34,"Brandon Ingram, SF",29467800,2020-21,23,NOP,NBA,SF,61,61,34.3,8.4,18,0.466,2.3,6.1,0.381,6.1,11.9,0.51,0.531,4.6,5.2,0.878,0.6,4.3,4.9,4.9,0.7,0.6,2.5,2,23.8,4
35,"De'Aaron Fox, PG",28103550,2020-21,23,SAC,NBA,PG,58,58,35.1,9.1,19.1,0.477,1.8,5.5,0.322,7.3,13.6,0.539,0.523,5.2,7.2,0.719,0.6,2.9,3.5,7.2,1.5,0.5,3,2.9,25.2,3
36,"Donovan Mitchell, SG",28103500,2020-21,24,UTA,NBA,PG,53,53,33.4,9,20.6,0.438,3.4,8.7,0.386,5.7,11.9,0.476,0.52,5,6,0.845,0.9,3.5,4.4,5.2,1,0.3,2.8,2.2,26.4,3
37,"Bam Adebayo, C",28103500,2020-21,23,MIA,NBA,C,64,64,33.5,7.1,12.5,0.57,0,0.1,0.25,7.1,12.4,0.573,0.571,4.4,5.5,0.799,2.2,6.7,9,5.4,1.2,1,2.6,2.3,18.7,3
38,"Jayson Tatum, SF",28103500,2020-21,22,BOS,NBA,SF,64,64,35.8,9.5,20.6,0.459,2.9,7.6,0.386,6.5,13,0.502,0.53,4.6,5.3,0.868,0.8,6.6,7.4,4.3,1.2,0.5,2.7,1.9,26.4,3
39,"Al Horford, C",27000000,2020-21,34,OKC,NBA,C,28,28,27.9,5.8,12.9,0.45,2,5.4,0.368,3.8,7.4,0.51,0.528,0.6,0.8,0.818,1,5.7,6.7,3.4,0.9,0.9,1,1.7,14.2,13
40,"Kyle Lowry, PG",26894128,2020-21,34,TOR,NBA,PG,46,46,34.8,5.7,13,0.436,2.8,7.2,0.396,2.8,5.8,0.487,0.546,3,3.5,0.875,0.8,4.6,5.4,7.3,1,0.3,2.7,3.1,17.2,14
41,"Jaylen Brown, SG",26758928,2020-21,24,BOS,NBA,SG,58,58,34.5,9.3,19.2,0.484,2.8,7.1,0.397,6.5,12.1,0.536,0.558,3.3,4.3,0.764,1.2,4.8,6,3.4,1.2,0.6,2.7,2.9,24.7,4
42,"DeMar DeRozan, SF",26000000,2020-21,31,SAS,NBA,PF,61,61,33.7,7.5,15.1,0.495,0.3,1.2,0.257,7.1,13.9,0.515,0.505,6.3,7.2,0.88,0.7,3.6,4.2,6.9,0.9,0.2,2,2.1,21.6,11
43,"Draymond Green, PF",24026712,2020-21,30,GSW,NBA,PF,63,63,31.5,2.7,6,0.447,0.5,2,0.27,2.2,4,0.535,0.492,1.1,1.4,0.795,0.9,6.3,7.1,8.9,1.7,0.8,3,3.1,7,8
44,"Nikola Vucevic, C",24000000,2020-21,30,CHI,NBA,C,26,26,32.6,8.8,18.8,0.471,2.3,5.8,0.388,6.6,12.9,0.509,0.532,1.5,1.8,0.87,2.3,9.3,11.5,3.9,0.9,0.8,1.7,2.2,21.5,9
45,"John Collins, PF",23000000,2020-21,23,ATL,NBA,PF,63,63,29.3,6.8,12.2,0.556,1.3,3.3,0.399,5.5,8.9,0.615,0.61,2.7,3.2,0.833,1.9,5.5,7.4,1.2,0.5,1,1.3,3.1,17.6,3
46,"Buddy Hield, SG",22768890,2020-21,28,SAC,NBA,SG,71,71,34.3,5.7,14,0.406,4,10.2,0.391,1.7,3.8,0.446,0.548,1.2,1.5,0.846,0.4,4.3,4.7,3.6,0.9,0.4,1.8,2.5,16.6,4
47,"Julius Randle, PF",21780000,2020-21,26,NYK,NBA,PF,71,71,37.6,8.5,18.6,0.456,2.3,5.5,0.411,6.2,13.1,0.474,0.516,4.9,6,0.811,1.2,9,10.2,6,0.9,0.3,3.4,3.2,24.1,6
48,"Malcolm Brogdon, PG",21700000,2020-21,28,IND,NBA,PG,56,56,34.5,7.9,17.5,0.453,2.6,6.7,0.388,5.3,10.8,0.493,0.527,2.7,3.2,0.864,1,4.2,5.3,5.9,0.9,0.3,2.1,2,21.2,4
49,"Tim Hardaway Jr., SF",21308816,2020-21,28,DAL,NBA,SG,70,31,28.4,5.8,13,0.447,3,7.6,0.391,2.9,5.5,0.524,0.56,2,2.5,0.816,0.3,3,3.3,1.8,0.4,0.2,0.9,1.6,16.6,7
50,"Mike Conley, PG",21000000,2020-21,33,UTA,NBA,PG,51,51,29.4,5.6,12.5,0.444,2.7,6.6,0.412,2.9,6,0.479,0.552,2.4,2.8,0.852,0.7,2.8,3.5,6,1.4,0.2,1.9,1.9,16.2,13
51,"Gary Harris, SG",20482143,2020-21,26,ORL,NBA,SG,20,19,25,3.5,9.5,0.365,1.2,3.3,0.364,2.3,6.2,0.366,0.429,2.1,2.4,0.875,0.4,1.2,1.6,2.3,0.6,0.4,1.2,1.7,10.2,6
52,"Danilo Gallinari, PF",20475000,2020-21,32,ATL,NBA,PF,51,4,24,4,9.3,0.434,2,5,0.406,2,4.3,0.466,0.542,3.2,3.4,0.925,0.3,3.8,4.1,1.5,0.6,0.2,0.8,2.1,13,11
53,"Harrison Barnes, SF",20284091,2020-21,28,SAC,NBA,PF,58,58,36.2,5.5,11.1,0.497,1.7,4.4,0.391,3.8,6.7,0.567,0.575,3.4,4.1,0.83,1.1,5.5,6.6,3.5,0.7,0.2,1.6,1.3,16.1,8
54,"Jerami Grant, SF",20002500,2020-21,26,DET,NBA,SF,54,54,33.9,7.4,17.3,0.429,2.1,6.1,0.35,5.3,11.2,0.473,0.491,5.4,6.4,0.845,0.6,4,4.6,2.8,0.6,1.1,2,2.3,22.3,6
55,"Jarrett Allen, C",20000000,2020-21,22,CLE,NBA,C,51,40,30.3,5,8.2,0.609,0.1,0.4,0.316,4.9,7.8,0.623,0.616,3.1,4.5,0.69,3.1,6.8,9.9,1.7,0.5,1.4,1.5,1.5,13.2,3
56,"Domantas Sabonis, PF",19800000,2020-21,24,IND,NBA,PF,62,62,36,7.8,14.6,0.535,0.8,2.6,0.321,7,12,0.582,0.564,3.9,5.3,0.732,2.4,9.5,12,6.7,1.2,0.5,3.4,3.3,20.3,4
57,"Fred VanVleet, SG",19675926,2020-21,26,TOR,NBA,SG,52,52,36.5,6.5,16.7,0.389,3.3,9.2,0.366,3.2,7.6,0.416,0.489,3.3,3.7,0.885,0.6,3.6,4.2,6.3,1.7,0.7,1.8,2.3,19.6,4
58,"Zach LaVine, SG",19500000,2020-21,25,CHI,NBA,SG,58,58,35.1,9.8,19.4,0.507,3.4,8.2,0.419,6.4,11.1,0.571,0.596,4.4,5.1,0.849,0.6,4.4,5,4.9,0.8,0.5,3.5,2.4,27.4,6
59,"Goran Dragic, PG",19440000,2020-21,34,MIA,NBA,PG,50,11,26.7,4.8,11.1,0.432,1.8,4.9,0.373,3,6.2,0.479,0.514,2,2.4,0.828,0.5,2.9,3.4,4.4,0.7,0.2,2.4,2.3,13.4,12
60,"Bojan Bogdanovic, SF",18700000,2020-21,31,UTA,NBA,SF,72,72,30.8,5.6,12.8,0.439,2.5,6.4,0.39,3.1,6.4,0.487,0.536,3.2,3.7,0.879,0.6,3.3,3.9,1.9,0.6,0.1,1.8,1.6,17,6
61,"Lonzo Ball, PG",18604651,2020-21,23,NOP,NBA,PG,55,55,31.8,5.3,12.7,0.414,3.1,8.3,0.378,2.1,4.5,0.482,0.537,0.9,1.2,0.781,0.6,4.2,4.8,5.7,1.5,0.6,2.2,1.9,14.6,3
62,"Clint Capela, C",18603448,2020-21,26,ATL,NBA,C,63,63,30.1,6.6,11,0.594,0,0,,6.6,11,0.594,0.594,2.1,3.6,0.573,4.7,9.6,14.3,0.8,0.7,2,1.2,2.3,15.2,6
63,"Eric Gordon, SG",18218818,2020-21,32,HOU,NBA,SG,27,13,29.2,5.9,13.6,0.433,2.6,7.8,0.329,3.3,5.8,0.573,0.527,3.5,4.2,0.825,0.3,1.9,2.1,2.6,0.5,0.5,1.9,1.6,17.8,12
64,"Eric Bledsoe, SG",18125000,2020-21,31,NOP,NBA,SG,71,70,29.7,4.3,10.3,0.421,1.7,5,0.341,2.6,5.3,0.496,0.503,1.9,2.7,0.687,0.4,3,3.4,3.8,0.8,0.3,1.6,1.6,12.2,10
65,"Myles Turner, C",18000000,2020-21,24,IND,NBA,C,47,47,31,4.4,9.2,0.477,1.5,4.4,0.335,2.9,4.8,0.606,0.557,2.4,3,0.782,1.3,5.2,6.5,1,0.9,3.4,1.4,3.5,12.6,5
66,"Bogdan Bogdanovic, SG",18000000,2020-21,28,ATL,NBA,SG,44,27,29.7,6.1,12.8,0.473,3.3,7.6,0.438,2.8,5.3,0.522,0.602,0.9,1,0.909,0.5,3.2,3.6,3.3,1.1,0.3,1.2,2.3,16.4,3
67,"Terry Rozier, SG",17905263,2020-21,26,CHO,NBA,SG,69,69,34.5,7.4,16.4,0.45,3.2,8.3,0.389,4.2,8.2,0.512,0.548,2.4,2.9,0.817,0.7,3.7,4.4,4.2,1.3,0.4,1.9,1.7,20.4,5
68,"Ricky Rubio, PG",17800000,2020-21,30,MIN,NBA,PG,68,51,26.1,2.8,7.3,0.388,1,3.1,0.308,1.9,4.2,0.447,0.454,1.9,2.2,0.867,0.4,2.9,3.3,6.4,1.4,0.1,1.6,2,8.6,9
69,"Caris LeVert, SG",17500000,2020-21,26,TOT,NBA,SG,47,39,31.6,7.6,17.3,0.441,1.8,5.5,0.326,5.9,11.8,0.495,0.493,3.1,3.8,0.811,0.7,3.9,4.6,5.2,1.4,0.6,2.2,2.2,20.2,4
70,"Jonathan Isaac, PF",17400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
71,"Joe Harris, SF",17357143,2020-21,29,BRK,NBA,SF,69,65,31,5.2,10.2,0.505,3.1,6.4,0.475,2.1,3.8,0.555,0.654,0.7,0.9,0.778,0.6,3,3.6,1.9,0.7,0.2,0.9,2,14,6
72,"Spencer Dinwiddie, PG",17142857,2020-21,27,BRK,NBA,SG,3,3,21.3,2,5.3,0.375,0.7,2.3,0.286,1.3,3,0.444,0.438,2,2,1,0,4.3,4.3,3,0.7,0.3,1.7,1.3,6.7,6
73,"Steven Adams, C",17073171,2020-21,27,NOP,NBA,C,58,58,27.7,3.3,5.3,0.614,0,0.1,0,3.3,5.3,0.62,0.614,1,2.3,0.444,3.7,5.2,8.9,1.9,0.9,0.7,1.3,1.9,7.6,7
74,"Evan Fournier, SG",17000000,2020-21,28,TOT,NBA,"SF,SG",42,36,30,5.9,12.9,0.457,2.8,6.7,0.413,3.1,6.1,0.504,0.565,2.6,3.3,0.788,0.2,2.8,3,3.4,1.1,0.5,1.7,2.3,17.1,8
75,"Markelle Fultz, PG",16500000,2020-21,22,ORL,NBA,PG,8,8,26.9,5.1,13,0.394,0.5,2,0.25,4.6,11,0.42,0.413,2.1,2.4,0.895,0.6,2.5,3.1,5.4,1,0.3,2.3,2.3,12.9,3
76,"Aaron Gordon, PF",16409091,2020-21,25,TOT,NBA,PF,50,50,27.7,4.6,10,0.463,1.2,3.5,0.335,3.4,6.5,0.533,0.522,1.9,3,0.651,1.5,4.1,5.7,3.2,0.7,0.7,1.9,1.8,12.4,6
77,"OG Anunoby, SF",16071429,2020-21,23,TOR,NBA,SF,43,43,33.3,5.8,12.1,0.48,2.4,6.1,0.398,3.4,6,0.562,0.58,1.9,2.4,0.784,1.3,4.3,5.5,2.2,1.5,0.7,1.7,2.7,15.9,3
78,"Gary Trent Jr., SG",16000000,2020-21,22,TOT,NBA,SG,58,38,31.1,5.5,13.5,0.408,2.8,7.4,0.385,2.7,6.1,0.435,0.513,1.4,1.8,0.783,0.5,2.2,2.6,1.4,1,0.2,0.7,1.6,15.3,2
79,"Davis Bertans, SF",16000000,2020-21,28,WAS,NBA,PF,57,7,25.7,3.4,8.4,0.404,3,7.5,0.395,0.4,0.9,0.48,0.581,1.8,2,0.87,0.3,2.6,2.9,0.9,0.6,0.2,0.6,2.4,11.5,4
80,"Lauri Markkanen, PF",15690909,2020-21,23,CHI,NBA,PF,51,26,25.8,4.9,10.2,0.48,2.3,5.8,0.402,2.6,4.4,0.582,0.594,1.5,1.8,0.826,0.7,4.6,5.3,0.9,0.5,0.3,1,1.5,13.6,3
81,"Duncan Robinson, SG",15650000,2020-21,26,MIA,NBA,SF,72,72,31.4,4.4,10,0.439,3.5,8.5,0.408,0.9,1.4,0.625,0.614,0.9,1,0.827,0.1,3.4,3.5,1.8,0.6,0.3,1.1,2.5,13.1,2
82,"Marcus Morris Sr., SF",15627907,2020-21,31,LAC,NBA,PF,57,29,26.4,4.8,10.2,0.473,2.5,5.2,0.473,2.4,5.1,0.472,0.592,1.3,1.6,0.82,0.6,3.5,4.1,1,0.6,0.3,1,2.1,13.4,9
83,"Will Barton, SF",15625000,2020-21,30,DEN,NBA,SF,56,52,31,4.6,10.9,0.426,1.8,4.6,0.381,2.9,6.3,0.459,0.507,1.7,2.2,0.785,0.7,3.3,4,3.2,0.9,0.4,1.7,1.7,12.7,8
84,"Norman Powell, SF",15517241,2020-21,27,TOT,NBA,"SF,SG",69,58,32,6.3,13.3,0.477,2.5,6,0.411,3.9,7.3,0.532,0.57,3.4,3.9,0.871,0.6,2.5,3.1,1.9,1.2,0.3,1.7,2.3,18.6,5
85,"Dejounte Murray, PG",15428880,2020-21,24,SAS,NBA,PG,67,67,31.9,6.6,14.5,0.453,0.9,3,0.317,5.6,11.6,0.488,0.485,1.6,2,0.791,0.9,6.2,7.1,5.4,1.5,0.1,1.7,2,15.7,3
86,"Derrick White, PG",15178571,2020-21,26,SAS,NBA,SG,36,32,29.6,5.2,12.6,0.411,2.3,6.8,0.346,2.8,5.8,0.486,0.503,2.7,3.2,0.851,0.4,2.6,3,3.5,0.7,1,1.3,2.5,15.4,3
87,"Malik Beasley, SG",14491964,2020-21,24,MIN,NBA,SG,37,36,32.8,7.1,16.2,0.44,3.5,8.7,0.399,3.7,7.5,0.487,0.547,1.8,2.2,0.85,0.8,3.6,4.4,2.4,0.8,0.2,1.6,1.7,19.6,4
88,"Marcus Smart, PG",14339285,2020-21,26,BOS,NBA,PG,48,45,32.9,4.2,10.6,0.398,1.9,5.9,0.33,2.3,4.8,0.482,0.489,2.7,3.4,0.79,0.8,2.7,3.5,5.7,1.5,0.5,2,2.6,13.1,6
89,"Patrick Beverley, PG",14320988,2020-21,32,LAC,NBA,PG,37,34,22.5,2.5,5.9,0.423,1.5,3.8,0.397,1,2.1,0.468,0.55,1,1.2,0.8,0.8,2.4,3.2,2.1,0.8,0.8,0.9,2.9,7.5,8
90,"Thaddeus Young, PF",14190000,2020-21,32,CHI,NBA,PF,68,23,24.3,5.4,9.7,0.559,0.2,0.7,0.267,5.3,9.1,0.58,0.568,1,1.7,0.628,2.5,3.8,6.2,4.3,1.1,0.6,2,2.2,12.1,13
91,"Jonas Valanciunas, C",14000000,2020-21,28,MEM,NBA,C,62,61,28.3,7.1,12,0.592,0.3,0.9,0.368,6.8,11.1,0.611,0.606,2.5,3.3,0.773,4.1,8.4,12.5,1.8,0.6,0.9,1.6,2.9,17.1,8
92,"Doug McDermott, SF",13750000,2020-21,29,IND,NBA,PF,66,29,24.5,5.4,10.1,0.532,1.7,4.3,0.388,3.7,5.7,0.641,0.616,1.2,1.5,0.816,0.9,2.4,3.3,1.3,0.3,0.1,0.8,1.8,13.6,6
93,"Christian Wood, C",13666667,2020-21,25,HOU,NBA,C,41,41,32.3,8,15.6,0.514,1.9,5,0.374,6.1,10.6,0.581,0.574,3,4.8,0.631,1.9,7.8,9.6,1.7,0.8,1.2,2,2.1,21,4
94,"Derrick Rose, PG",13445120,2020-21,32,TOT,NBA,PG,50,3,25.6,5.7,12.2,0.47,1,2.6,0.388,4.7,9.6,0.492,0.511,2.2,2.5,0.866,0.4,2.2,2.6,4.2,1,0.4,1.6,1.1,14.7,11
95,"Luke Kennard, SG",13347727,2020-21,24,LAC,NBA,SG,63,17,19.6,3.1,6.6,0.476,1.6,3.6,0.446,1.5,3,0.511,0.597,0.4,0.5,0.839,0.2,2.3,2.6,1.7,0.4,0.1,0.8,1.4,8.3,3
96,"Brook Lopez, C",13302325,2020-21,32,MIL,NBA,C,70,70,27.2,4.6,9.1,0.503,1.4,4,0.338,3.2,5.1,0.632,0.577,1.7,2,0.845,1.5,3.5,5,0.7,0.6,1.5,0.9,2.1,12.3,12
97,"Kentavious Caldwell-Pope, SG",13038862,2020-21,27,LAL,NBA,SG,67,67,28.4,3.3,7.6,0.431,1.8,4.4,0.41,1.5,3.2,0.46,0.549,1.4,1.7,0.866,0.4,2.3,2.7,1.9,0.9,0.4,1,1.7,9.7,7
98,"Joe Ingles, SG",13036364,2020-21,33,UTA,NBA,SF,67,30,27.9,4.1,8.4,0.489,2.7,6.1,0.451,1.4,2.3,0.59,0.652,1.1,1.3,0.844,0.4,3.2,3.6,4.7,0.7,0.2,1.7,1.8,12.1,6
99,"Kyle Kuzma, SF",13000000,2020-21,25,LAL,NBA,SF,68,32,28.7,4.9,11.1,0.443,2,5.6,0.361,2.9,5.5,0.525,0.533,1,1.4,0.691,1.6,4.5,6.1,1.9,0.5,0.6,1.7,1.8,12.9,3
